name,link,rating,ico_profile,team,vision,product,date
ititaniumcoin,https://icobench.com/ico/ititaniumcoin/,4.1,4.1,4.0,4.0,4.0,2017-12-15 - 2018-01-31
keyrpto,https://icobench.com/ico/keyrpto/,4.1,4.1,0,0,0,2018-01-20 - 2018-01-26
minerva,https://icobench.com/ico/minerva/,4.3,4.1,4.5,4.5,4.5,
naviaddress,https://icobench.com/ico/naviaddress/,4.1,4.1,4.0,5.0,4.0,2018-03-03 - 2018-03-28
nousplatform,https://icobench.com/ico/nousplatform/,3.9,4.1,3.6,4.1,3.7,2018-03-01 - 2018-04-17
odem,https://icobench.com/ico/odem/,4.1,4.1,0,0,0,2018-02-17 - 2018-03-19
parsec-frontiers,https://icobench.com/ico/parsec-frontiers/,3.9,4.1,4.0,2.0,4.0,2018-01-24 - 2018-01-31
pm7,https://icobench.com/ico/pm7/,4.1,4.1,4.0,4.0,4.0,2017-12-17 - 2018-03-04
propify,https://icobench.com/ico/propify/,4.1,4.1,4.0,4.0,4.0,
rentberry,https://icobench.com/ico/rentberry/,3.9,4.1,4.4,3.5,3.7,2017-12-05 - 2018-03-01
safekeet,https://icobench.com/ico/safekeet/,4.0,4.1,4.5,3.5,4.0,2018-01-15 - 2018-02-28
sintez,https://icobench.com/ico/sintez/,4.1,4.1,4.0,4.0,4.0,2018-03-17 - 2018-04-17
skraps,https://icobench.com/ico/skraps/,3.0,4.1,2.5,2.3,2.1,2018-01-15 - 2018-02-15
stk,https://icobench.com/ico/stk/,4.1,4.1,3.8,4.6,3.8,2018-01-31 - 2018-02-14
telcoin,https://icobench.com/ico/telcoin/,3.3,4.1,3.8,2.5,2.1,
tokengo,https://icobench.com/ico/tokengo/,3.2,4.1,3.0,3.0,2.0,
tomocoin,https://icobench.com/ico/tomocoin/,3.9,4.1,5.0,3.4,2.2,2018-03-01 - 2018-03-20
valorem-foundation,https://icobench.com/ico/valorem-foundation/,3.4,4.1,2.1,2.5,2.1,2017-12-15 - 2018-03-30
velix-id,https://icobench.com/ico/velix-id/,4.1,4.1,0,0,0,2018-01-27 - 2018-01-31
ventureon,https://icobench.com/ico/ventureon/,4.1,4.1,0,0,0,2017-11-01 - 2018-02-01
verime,https://icobench.com/ico/verime/,3.8,4.1,4.0,3.3,3.4,2017-12-15 - 2018-01-31
admine,https://icobench.com/ico/admine/,4.0,4.0,4.4,3.7,3.7,2017-12-18 - 2018-01-19
archicoin,https://icobench.com/ico/archicoin/,4.1,4.0,4.0,5.0,5.0,2017-12-01 - 2018-03-07
bank4you,https://icobench.com/ico/bank4you/,3.7,4.0,3.5,3.1,3.1,2017-11-06 - 2018-01-31
blockbank,https://icobench.com/ico/blockbank/,3.9,4.0,4.0,3.8,3.4,2018-02-08 - 2018-03-15
crycash,https://icobench.com/ico/crycash/,4.0,4.0,3.0,5.0,4.0,2017-12-12 - 2018-01-31
dencity,https://icobench.com/ico/dencity/,4.0,4.0,4.0,4.0,4.0,
devery,https://icobench.com/ico/devery/,4.0,4.0,4.0,4.2,3.8,2018-01-18 - 2018-02-11
etcetera,https://icobench.com/ico/etcetera/,4.0,4.0,0,0,0,2018-02-01 - 2018-03-15
giftcoin,https://icobench.com/ico/giftcoin/,3.9,4.0,3.6,4.2,3.6,2018-02-01 - 2018-03-01
hamster-marketplace,https://icobench.com/ico/hamster-marketplace/,3.4,4.0,3.8,3.3,2.5,2018-01-29 - 2018-03-01
hero-1,https://icobench.com/ico/hero-1/,3.5,4.0,2.0,2.0,2.0,
jincor,https://icobench.com/ico/jincor/,3.9,4.0,4.3,3.7,3.5,2017-11-15 - 2018-01-31
krios,https://icobench.com/ico/krios/,4.0,4.0,0,0,0,2018-01-08 - 2018-02-16
kryptopy,https://icobench.com/ico/kryptopy/,3.5,4.0,3.3,2.9,3.0,
liblob,https://icobench.com/ico/liblob/,3.7,4.0,3.5,3.0,3.0,2018-01-08 - 2018-02-04
loyalcoin,https://icobench.com/ico/loyalcoin/,3.9,4.0,4.3,4.0,3.1,2017-12-11 - 2018-02-10
mimicoin,https://icobench.com/ico/mimicoin/,3.7,4.0,3.8,3.3,3.7,2017-12-29 - 2018-02-12
mobilinkcoin,https://icobench.com/ico/mobilinkcoin/,3.7,4.0,3.0,3.0,3.0,2018-01-15 - 2018-01-30
